Data;Preço
13/05/2024;83,18
10/05/2024;83,39
09/05/2024;83,27
08/05/2024;82,44
07/05/2024;82,69
03/05/2024;83,6
02/05/2024;84,81
01/05/2024;83,55
30/04/2024;88,23
29/04/2024;88,44
26/04/2024;89,95
25/04/2024;88,1
24/04/2024;89,02
23/04/2024;88,29
22/04/2024;87,3
19/04/2024;87,96
18/04/2024;88,34
17/04/2024;89,54
16/04/2024;91,29
15/04/2024;90,84
12/04/2024;93,12
11/04/2024;91,49
10/04/2024;91,57
09/04/2024;92,13
08/04/2024;91,73
05/04/2024;92,81
04/04/2024;90,32
03/04/2024;90,6
02/04/2024;87,63
28/03/2024;86,17
27/03/2024;84,94
26/03/2024;85,91
25/03/2024;86,18
22/03/2024;84,87
21/03/2024;84,92
20/03/2024;85,77
19/03/2024;87,36
18/03/2024;86,47
15/03/2024;85,39
14/03/2024;86,16
13/03/2024;83,95
12/03/2024;83,66
11/03/2024;83,44
08/03/2024;84,29
07/03/2024;84,88
06/03/2024;86,59
05/03/2024;85,82
04/03/2024;86,58
01/03/2024;84,82
29/02/2024;84,57
28/02/2024;84,08
27/02/2024;83,8
26/02/2024;84,01
23/02/2024;84,18
22/02/2024;85,84
21/02/2024;84,77
20/02/2024;84,78
19/02/2024;85,52
16/02/2024;84,88
15/02/2024;84,33
14/02/2024;84,41
13/02/2024;84,72
12/02/2024;83,88
09/02/2024;83,58
08/02/2024;83,01
07/02/2024;81,18
06/02/2024;80,46
05/02/2024;79,3
02/02/2024;79,54
01/02/2024;82,2
31/01/2024;82,98
30/01/2024;84,14
29/01/2024;83,99
26/01/2024;83,34
25/01/2024;82,33
24/01/2024;82,15
23/01/2024;82,04
22/01/2024;81,7
19/01/2024;80,71
18/01/2024;81,04
17/01/2024;78,88
16/01/2024;80,15
15/01/2024;79,76
12/01/2024;79,89
11/01/2024;80,21
10/01/2024;78,46
09/01/2024;77,97
08/01/2024;75,47
05/01/2024;78,31
04/01/2024;75,79
03/01/2024;77,18
02/01/2024;76,24
29/12/2023;77,69
28/12/2023;79,04
27/12/2023;80,97
26/12/2023;80,23
22/12/2023;80,23
21/12/2023;80,73
20/12/2023;81,1
19/12/2023;79,82
18/12/2023;78,89
15/12/2023;76,84
14/12/2023;77,05
13/12/2023;74,14
12/12/2023;74,11
11/12/2023;75,75
08/12/2023;75,94
07/12/2023;74,21
06/12/2023;74,33
05/12/2023;77,27
04/12/2023;78,16
01/12/2023;78,72
30/11/2023;81,72
29/11/2023;82,98
28/11/2023;81,66
27/11/2023;79,49
24/11/2023;79,82
23/11/2023;80,85
22/11/2023;81,76
